t_s,x_ref_cm,x_meas_cm,x_meas_raw_cm,x_true_cm,v_true_cmps,v_obs_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
1.000000000000000000e+00,5.352095050068200521e+00,3.611084784833108241e+00,3.611084784833108241e+00,3.611084784833108241e+00,2.186349486517761953e+00,2.186349486517761953e+00,2.200857424401964746e+00,1.741010265235092280e+00,2.266616313806118388e+00,1.391690569531797532e-02,-7.967579509947164684e-02
1.020000000000000018e+00,5.638500721593043608e+00,3.655461796401819452e+00,3.655461796401819452e+00,3.655461796401819452e+00,2.218850578435550780e+00,2.218850578435550780e+00,2.511360405695650222e+00,1.983038925191224155e+00,2.574818239685118026e+00,1.409126346587932961e-02,-7.754909745534713239e-02
1.040000000000000036e+00,5.671270327146179291e+00,3.700397021487789040e+00,3.700397021487789040e+00,3.700397021487789040e+00,2.246761254298485611e+00,2.246761254298485611e+00,2.497957337064899086e+00,1.970873305658390251e+00,2.560076834045336813e+00,1.426462299952334541e-02,-7.638411997996118197e-02
1.060000000000000053e+00,5.387861464430012681e+00,3.745002009987960623e+00,3.745002009987960623e+00,3.745002009987960623e+00,2.230249425008582698e+00,2.230249425008582698e+00,2.081642961399455150e+00,1.642859454442052058e+00,2.143079842536624202e+00,1.440974494161637726e-02,-7.584662607878568663e-02
1.080000000000000071e+00,5.866163295958001456e+00,3.790412821789046927e+00,3.790412821789046927e+00,3.790412821789046927e+00,2.270540590054316965e+00,2.270540590054316965e+00,2.633161075465926260e+00,2.075750474168954529e+00,2.693874833181951978e+00,1.459216481220980063e-02,-7.530592252823542498e-02
1.100000000000000089e+00,5.961580235752350632e+00,3.836676217951817680e+00,3.836676217951817680e+00,3.836676217951817680e+00,2.313169808138535455e+00,2.313169808138535455e+00,2.696832770896500531e+00,2.124904017800532952e+00,2.757382615733395603e+00,1.477888520981064484e-02,-7.532873004670577466e-02
1.120000000000000107e+00,5.315773559333298870e+00,3.881948455355939132e+00,3.881948455355939132e+00,3.881948455355939132e+00,2.263611870206071686e+00,2.263611870206071686e+00,1.817590428813896652e+00,1.433825103977359738e+00,1.878453623554481089e+00,1.490608758116945300e-02,-7.576928232175388078e-02
1.140000000000000124e+00,5.399627466350921168e+00,3.926427278779823116e+00,3.926427278779823116e+00,3.926427278779823116e+00,2.223941171194190769e+00,2.223941171194190769e+00,1.866904880087262075e+00,1.473200187571098052e+00,1.927452343963627301e+00,1.503660797611502085e-02,-7.558407185248020022e-02
1.159999999999999920e+00,4.995685932406083829e+00,3.969054275361246109e+00,3.969054275361246109e+00,3.969054275361246109e+00,2.131349829071156332e+00,2.131349829071156332e+00,1.298027749963847732e+00,1.026631657044837720e+00,1.357958490105351190e+00,1.512856422032687886e-02,-7.505930436183036458e-02
1.179999999999999938e+00,5.350836608156193108e+00,4.010811254690126226e+00,4.010811254690126226e+00,4.010811254690126226e+00,2.087848966444010745e+00,2.087848966444010745e+00,1.696341202799700021e+00,1.340025353466066882e+00,1.754863562649582764e+00,1.524739750094724483e-02,-7.376975735082991203e-02
1.199999999999999956e+00,5.188724715246573638e+00,4.051270266060345904e+00,4.051270266060345904e+00,4.051270266060345904e+00,2.022950568510997638e+00,2.022950568510997638e+00,1.438864987113880112e+00,1.137454449186227734e+00,1.495950094906688177e+00,1.534869805855509917e-02,-7.243380585136323380e-02
1.219999999999999973e+00,4.904645115032731262e+00,4.089740088083008374e+00,4.089740088083008374e+00,4.089740088083008374e+00,1.923491101133115055e+00,1.923491101133115055e+00,1.028355894732172482e+00,8.149050269497228882e-01,1.083786058194929458e+00,1.542208829556672434e-02,-7.085225175832365885e-02
1.239999999999999991e+00,5.321303921899451339e+00,4.127384646951672842e+00,4.127384646951672842e+00,4.127384646951672842e+00,1.882227943433208095e+00,1.882227943433208095e+00,1.510859524134045007e+00,1.193919274947778497e+00,1.564086068946882513e+00,1.552800278527493791e-02,-6.875454759811247540e-02
1.260000000000000009e+00,4.724911274262776573e+00,4.162679875999720558e+00,4.162679875999720558e+00,4.162679875999720558e+00,1.764761452402392461e+00,1.764761452402392461e+00,7.075630331250518656e-01,5.622313982630560147e-01,7.588588166851018002e-01,1.557939007522369211e-02,-6.687517363527363534e-02
1.280000000000000027e+00,4.997854278465943878e+00,4.196469448264154245e+00,4.196469448264154245e+00,4.196469448264154245e+00,1.689478613221685244e+00,1.689478613221685244e+00,1.011933060595320066e+00,8.013848302017896330e-01,1.060671491132103572e+00,1.565121507383578775e-02,-6.438964561061930048e-02
1.300000000000000044e+00,4.400399626808368048e+00,4.227305583543954803e+00,4.227305583543954803e+00,4.227305583543954803e+00,1.541806763990038798e+00,1.541806763990038798e+00,2.127601209052206455e-01,1.730940432644132443e-01,2.589913267511515516e-01,1.566875306919059130e-02,-6.189995891512149045e-02
1.320000000000000062e+00,4.637684945271693948e+00,4.256014504232732421e+00,4.256014504232732421e+00,4.256014504232732421e+00,1.435446034438895069e+00,1.435446034438895069e+00,4.781994684786022298e-01,3.816704410389615276e-01,5.211817893942287672e-01,1.570404569429917699e-02,-5.868636660992572474e-02
