t_s,x_meas_cm,x_true_cm,v_true_cmps,v_cmd_cmps,err_cm,p_term,i_term,d_term
1.419999999999999929e+00,4.693134798700818955e+00,4.693134798700818955e+00,8.951415086052871839e-01,4.871520472069299501e-01,3.068652012991810452e-01,4.871520472069299501e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.439999999999999947e+00,4.710167941459611818e+00,4.710167941459611818e+00,8.516571379396356001e-01,4.602978019487715677e-01,2.898320585403881822e-01,4.602978019487715677e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.459999999999999964e+00,4.726367266118146837e+00,4.726367266118146837e+00,8.099662329267303118e-01,4.347480878105822732e-01,2.736327338818531629e-01,4.347480878105822732e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.479999999999999982e+00,4.741767556512473725e+00,4.741767556512473725e+00,7.700145197163352773e-01,4.104491008227797444e-01,2.582324434875262753e-01,4.104491008227797444e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,4.756402515197830638e+00,4.756402515197830638e+00,7.317479342678306908e-01,3.873486652312894130e-01,2.435974848021693617e-01,3.873486652312894130e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.520000000000000018e+00,4.770304770469057765e+00,4.770304770469057765e+00,6.951127635613729705e-01,3.653962272032540426e-01,2.296952295309422354e-01,3.653962272032540426e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.540000000000000036e+00,4.783505885901755406e+00,4.783505885901755406e+00,6.600557716348770532e-01,3.445428442964133531e-01,2.164941140982445944e-01,3.445428442964133531e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.560000000000000053e+00,4.796036372133477776e+00,4.796036372133477776e+00,6.265243115861260925e-01,3.247411711473668916e-01,2.039636278665222235e-01,3.247411711473668916e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.580000000000000071e+00,4.807925700625627741e+00,4.807925700625627741e+00,5.944664246074917724e-01,3.059454417997833353e-01,1.920742993743722593e-01,3.059454417997833353e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000089e+00,4.819202319166685733e+00,4.819202319166685733e+00,5.638309270528983896e-01,2.881114490615583890e-01,1.807976808333142671e-01,2.881114490615583890e-01,0.000000000000000000e+00,0.000000000000000000e+00
